V01301 V04001 V04002 V13305 V10004_701 V12001_701 V13004_701 V13003_701 V14032 V13052
56778 1951 3 23.8000 806.9000 13.3000 8.3000 60.0000 999999.0000 14.4000 
56778 1951 4 2.8000 806.0000 16.4000 9.1000 55.0000 999999.0000 1.3000 
56778 1951 5 100.9000 807.0000 18.0000 13.2000 69.0000 999999.0000 14.9000 
56778 1951 6 167.5000 804.7000 19.0000 17.1000 80.0000 999999.0000 38.7000 
56778 1951 7 207.7000 805.7000 19.6000 18.7000 83.0000 999999.0000 47.9000 
56778 1951 8 138.0000 806.1000 19.2000 18.4000 84.0000 999999.0000 33.9000 
56778 1951 9 105.8000 810.1000 16.5000 15.6000 84.0000 999999.0000 38.8000 
56778 1951 10 58.9000 810.4000 15.1000 14.0000 83.0000 999999.0000 34.8000 
56778 1951 11 33.0000 810.8000 11.4000 9.8000 77.0000 999999.0000 20.0000 
56778 1951 12 25.0000 811.8000 7.2000 8.0000 82.0000 999999.0000 9.3000 
56778 1952 1 1.0000 809.4000 7.7000 6.8000 72.0000 999999.0000 0.9000 
56778 1952 2 12.3000 807.1000 10.3000 7.3000 66.0000 999999.0000 9.6000 
56778 1952 3 19.9000 806.7000 12.5000 8.2000 62.0000 278.5000 15.2000 
56778 1952 4 22.8000 807.5000 15.8000 10.7000 65.0000 288.5000 8.3000 
56778 1952 5 171.7000 805.5000 19.7000 15.2000 70.0000 298.4000 53.1000 
56778 1952 6 263.4000 805.9000 18.9000 17.8000 83.0000 168.8000 40.3000 
56778 1952 7 154.5000 804.6000 19.7000 18.9000 84.0000 175.9000 52.0000 
56778 1952 8 215.7000 806.6000 18.9000 18.3000 85.0000 151.7000 43.5000 
56778 1952 9 55.0000 809.1000 18.0000 16.5000 81.0000 133.2000 21.9000 
56778 1952 10 72.8000 811.5000 15.4000 14.6000 84.0000 118.5000 17.7000 
56778 1952 11 11.2000 809.6000 12.1000 10.6000 80.0000 277.6000 9.0000 
56778 1952 12 0.9000 811.7000 7.2000 7.1000 75.0000 219.5000 0.3000 
56778 1953 1 9.1000 809.1000 8.5000 7.5000 74.0000 270.0000 7.3000 
56778 1953 2 31.4000 809.6000 10.0000 8.1000 72.0000 253.8000 26.2000 
56778 1953 3 18.3000 807.2000 13.4000 8.7000 63.0000 257.4000 18.2000 
56778 1953 4 1.6000 807.0000 17.0000 10.0000 57.0000 284.6000 1.1000 
56778 1953 5 93.5000 806.6000 17.8000 14.2000 73.0000 231.2000 33.3000 
56778 1953 6 185.4000 807.6000 19.6000 17.6000 79.0000 147.0000 59.0000 
56778 1953 7 110.5000 807.7000 20.1000 19.0000 82.0000 174.8000 46.0000 
56778 1953 8 84.8000 808.3000 20.0000 18.6000 82.0000 253.7000 16.3000 
56778 1953 9 77.4000 812.3000 16.5000 15.5000 84.0000 101.5000 25.4000 
56778 1953 10 150.9000 812.5000 15.7000 14.5000 84.0000 204.0000 68.7000 
56778 1953 11 16.1000 814.1000 11.6000 10.7000 81.0000 221.0000 7.5000 
56778 1953 12 10.9000 813.9000 8.3000 8.4000 80.0000 218.4000 999805.2000 
56778 1954 1 0.1000 809.3000 9.0000 5.9000 56.0000 304.6000 0.1000 
56778 1954 2 1.9000 809.8000 11.1000 7.4000 60.0000 266.1000 1.5000 
56778 1954 3 12.5000 811.0000 12.1000 7.9000 60.0000 247.0000 3.1000 
56778 1954 4 13.1000 808.4000 17.8000 10.0000 52.0000 283.2000 8.4000 
56778 1954 5 111.8000 807.8000 19.9000 15.2000 68.0000 247.5000 42.5000 
56778 1954 6 206.1000 806.5000 19.6000 18.2000 80.0000 125.7000 33.6000 
56778 1954 7 174.3000 806.2000 20.1000 19.2000 83.0000 89.0000 29.1000 
56778 1954 8 342.6000 807.5000 19.4000 18.9000 84.0000 151.3000 70.9000 
56778 1954 9 184.4000 810.4000 18.7000 17.5000 82.0000 179.1000 59.7000 
56778 1954 10 51.7000 813.7000 15.3000 14.2000 82.0000 153.0000 11.5000 
56778 1954 11 1.0000 813.3000 12.5000 10.1000 71.0000 270.9000 1.0000 
56778 1954 12 6.0000 812.5000 9.0000 8.5000 76.0000 212.3000 6.0000 
56778 1955 1 11.9000 814.4000 6.9000 6.9000 72.0000 215.1000 999809.1000 
56778 1955 2 0.0000 808.2000 11.3000 6.6000 53.0000 275.3000 999990.0000 
56778 1955 3 15.1000 809.6000 14.4000 8.9000 58.0000 279.0000 4.7000 
56778 1955 4 2.5000 809.2000 16.7000 10.1000 56.0000 280.9000 1.2000 
56778 1955 5 18.1000 808.0000 20.3000 14.4000 62.0000 257.9000 7.2000 
56778 1955 6 220.0000 807.7000 18.8000 17.2000 80.0000 113.8000 62.3000 
56778 1955 7 165.5000 806.8000 19.9000 18.8000 82.0000 112.7000 57.8000 
56778 1955 8 191.8000 808.9000 19.1000 17.8000 81.0000 155.3000 30.3000 
56778 1955 9 89.9000 811.8000 18.9000 17.0000 79.0000 232.8000 30.9000 
56778 1955 10 77.6000 813.7000 15.3000 14.4000 83.0000 114.4000 36.7000 
56778 1955 11 178.9000 814.8000 10.1000 10.2000 83.0000 130.3000 36.3000 
56778 1955 12 0.5000 812.7000 7.2000 6.6000 68.0000 260.4000 0.2000 
56778 1956 1 6.6000 809.3000 6.4000 6.5000 70.0000 214.2000 2.4000 
56778 1956 2 0.0000 808.8000 11.3000 6.6000 54.0000 278.6000 999990.0000 
56778 1956 3 19.0000 809.5000 14.1000 8.0000 53.0000 283.7000 999809.1000 
56778 1956 4 14.9000 808.6000 18.1000 10.1000 52.0000 288.9000 10.1000 
56778 1956 5 155.5000 808.3000 18.2000 16.1000 78.0000 150.8000 26.6000 
56778 1956 6 118.2000 806.9000 19.8000 17.7000 78.0000 145.0000 20.4000 
56778 1956 7 129.4000 808.1000 19.8000 18.0000 79.0000 182.7000 25.9000 
56778 1956 8 199.5000 808.4000 19.5000 17.8000 79.0000 180.8000 47.3000 
56778 1956 9 47.7000 810.9000 18.0000 15.2000 74.0000 188.3000 11.4000 
56778 1956 10 103.1000 814.9000 14.4000 13.1000 80.0000 135.7000 28.6000 
56778 1956 11 46.1000 814.8000 11.2000 10.9000 82.0000 128.4000 9.9000 
56778 1956 12 12.6000 813.5000 8.8000 8.2000 75.0000 253.3000 6.4000 
56778 1957 1 24.3000 810.5000 9.1000 7.1000 65.0000 282.2000 24.3000 
56778 1957 2 11.2000 809.1000 9.0000 6.3000 59.0000 226.1000 8.1000 
56778 1957 3 14.1000 810.1000 13.4000 8.2000 57.0000 288.8000 6.2000 
56778 1957 4 24.1000 809.4000 17.1000 9.6000 53.0000 269.9000 8.8000 
56778 1957 5 62.8000 807.9000 19.5000 11.6000 54.0000 272.2000 20.6000 
56778 1957 6 319.5000 807.5000 18.4000 17.2000 81.0000 119.5000 85.0000 
56778 1957 7 210.4000 806.9000 20.2000 19.4000 83.0000 124.1000 82.2000 
56778 1957 8 198.6000 809.1000 18.9000 17.8000 82.0000 186.3000 39.3000 
56778 1957 9 306.1000 811.8000 17.7000 17.2000 86.0000 155.4000 153.3000 
56778 1957 10 83.8000 814.3000 13.5000 12.2000 80.0000 182.4000 16.6000 
56778 1957 11 4.2000 813.7000 12.0000 9.1000 68.0000 271.2000 4.2000 
56778 1957 12 35.6000 812.1000 9.2000 7.5000 68.0000 251.3000 35.6000 
56778 1958 1 3.6000 812.8000 8.1000 6.5000 64.0000 238.8000 2.7000 
56778 1958 2 7.9000 810.8000 7.6000 6.7000 68.0000 160.0000 3.7000 
56778 1958 3 5.5000 810.4000 14.7000 7.3000 47.0000 287.2000 5.5000 
56778 1958 4 2.0000 810.0000 17.7000 10.2000 54.0000 281.3000 0.6000 
56778 1958 5 13.5000 808.3000 20.8000 12.9000 55.0000 280.8000 8.7000 
56778 1958 6 255.7000 807.4000 20.1000 17.7000 77.0000 142.1000 52.6000 
56778 1958 7 271.3000 806.7000 19.5000 19.0000 85.0000 133.7000 36.6000 
56778 1958 8 180.2000 809.4000 18.5000 18.1000 86.0000 119.5000 43.1000 
56778 1958 9 88.7000 811.0000 17.2000 15.5000 80.0000 174.7000 34.1000 
56778 1958 10 33.3000 814.2000 14.2000 13.6000 83.0000 113.1000 8.7000 
56778 1958 11 10.7000 814.4000 11.0000 9.6000 75.0000 195.0000 4.7000 
56778 1958 12 3.6000 813.1000 8.3000 7.3000 70.0000 200.4000 2.2000 
56778 1959 1 17.9000 812.0000 7.3000 6.7000 68.0000 211.6000 12.4000 
56778 1959 2 41.9000 809.7000 8.3000 6.7000 66.0000 195.9000 999812.2000 
56778 1959 3 14.3000 811.4000 11.8000 8.5000 65.0000 263.3000 5.3000 
56778 1959 4 12.5000 810.0000 17.0000 10.6000 59.0000 258.2000 8.2000 
56778 1959 5 106.6000 808.3000 18.4000 13.6000 67.0000 222.9000 19.3000 
56778 1959 6 126.3000 807.3000 20.0000 18.0000 78.0000 201.1000 25.2000 
56778 1959 7 182.4000 807.8000 19.7000 18.5000 81.0000 194.0000 68.1000 
56778 1959 8 213.1000 807.3000 19.4000 18.8000 84.0000 209.7000 110.4000 
56778 1959 9 176.2000 811.1000 16.8000 15.8000 83.0000 154.0000 30.3000 
56778 1959 10 78.6000 814.0000 14.5000 13.5000 83.0000 137.2000 16.3000 
56778 1959 11 0.0000 812.6000 11.4000 9.1000 71.0000 288.6000 0.0000 
56778 1959 12 18.3000 812.9000 9.5000 7.8000 70.0000 257.4000 15.9000 
56778 1960 1 6.6000 812.4000 8.2000 6.5000 65.0000 250.8000 2.8000 
56778 1960 2 0.8000 812.8000 9.8000 7.4000 66.0000 201.1000 0.3000 
56778 1960 3 4.0000 809.3000 13.9000 7.2000 50.0000 299.0000 4.0000 
56778 1960 4 4.2000 809.3000 16.7000 8.9000 52.0000 267.9000 3.7000 
56778 1960 5 47.1000 808.6000 19.2000 12.6000 59.0000 244.2000 13.6000 
56778 1960 6 94.2000 808.0000 20.1000 17.8000 76.0000 181.1000 28.7000 
56778 1960 7 321.1000 808.1000 19.0000 18.5000 85.0000 133.0000 79.7000 
56778 1960 8 79.4000 808.4000 19.8000 18.6000 81.0000 239.2000 23.1000 
56778 1960 9 104.8000 811.9000 17.8000 16.4000 81.0000 194.7000 34.3000 
56778 1960 10 28.0000 814.9000 15.0000 13.6000 80.0000 159.5000 11.7000 
56778 1960 11 24.6000 813.7000 12.1000 9.3000 69.0000 246.3000 23.2000 
56778 1960 12 2.4000 812.9000 8.6000 8.0000 74.0000 202.8000 1.4000 
56778 1961 1 3.7000 813.0000 8.5000 6.7000 65.0000 250.2000 2.6000 
56778 1961 2 29.5000 809.2000 9.2000 7.5000 68.0000 173.2000 15.4000 
56778 1961 3 24.7000 810.9000 12.4000 8.2000 61.0000 264.3000 7.5000 
56778 1961 4 16.9000 809.7000 16.2000 10.0000 58.0000 291.3000 6.4000 
